label,filename,duration_sec,num_strokes,x_mean,x_std,x_min,x_max,x_range,y_mean,y_std,y_min,y_max,y_range,z_mean,z_std,z_min,z_max,z_range
l,l_20.csv,0.7849156856536865,1,-128.40939597315437,181.4592506345403,-469,127,596,75.33557046979865,77.49155235025361,-78,220,298,-5.308724832214765,122.26245027680118,-152,280,432
l,l_21.csv,0.859947681427002,1,-115.32065217391305,181.7398922185662,-508,231,739,98.4836956521739,90.03623894232557,-6,312,318,36.125,143.30520994269997,-170,378,548
l,l_22.csv,0.7786405086517334,1,-37.55555555555556,124.41929709929738,-213,346,559,129.15432098765433,153.5592050424291,-90,482,572,95.73456790123457,213.5980666512254,-200,499,699
l,l_23.csv,0.9023575782775879,1,-66.63636363636364,113.79306349115177,-298,269,567,71.53977272727273,129.7384120141296,-68,494,562,104.01704545454545,178.12109763326163,-78,499,577
l,l_24.csv,0.8662359714508057,1,-47.79545454545455,109.53451214411535,-209,325,534,75.16477272727273,113.03699069876977,-58,368,426,141.86363636363637,187.99022356453582,-98,497,595
l,l_25.csv,0.747448205947876,1,-39.870588235294115,125.68955728421841,-276,240,516,112.11176470588235,127.64384799816492,-34,424,458,120.6470588235294,213.81193449967557,-194,496,690
l,l_3.csv,0.818716287612915,1,-39.59217877094972,127.28057190093286,-239,287,526,112.43016759776536,124.33643822838125,-46,392,438,88.22905027932961,204.55456689287925,-193,498,691
l,l_4.csv,0.7198660373687744,1,-63.82312925170068,102.22984449371528,-215,251,466,105.14965986394557,118.6630635623112,-24,386,410,91.64625850340136,221.316014150506,-220,498,718
l,l_5.csv,0.7074084281921387,1,-45.05555555555556,109.91132966396316,-203,198,401,101.43055555555556,104.97636449118966,-20,342,362,112.05555555555556,208.68357878097655,-188,495,683
l,l_6.csv,0.6986644268035889,1,-46.7972027972028,82.76911373999154,-140,202,342,107.76223776223776,97.61507892940402,-10,336,346,100.84615384615384,199.62176585762637,-152,497,649
l,l_7.csv,0.6411960124969482,1,-58.25,102.84572958800084,-205,250,455,113.2265625,103.64773889027647,-18,286,304,94.875,219.49534100843564,-196,496,692
l,l_8.csv,0.754835844039917,1,42.23255813953488,171.9516234442512,-175,412,587,89.62209302325581,104.77177748323803,-34,356,390,93.96511627906976,161.7001736066812,-100,486,586
l,l_9.csv,0.8124504089355469,1,-131.63905325443787,171.5361093154976,-512,146,658,79.78698224852072,84.30381322791716,-70,268,338,25.047337278106507,130.5871726112707,-160,388,548
m,m_1.csv,1.374530553817749,1,-126.48122866894198,264.5284195491481,-512,228,740,156.83617747440272,121.58671487729787,-24,448,472,75.99658703071673,98.51261995136265,-90,328,418
m,m_10.csv,1.503596305847168,1,-33.94039735099338,53.956821889479514,-224,101,325,166.7086092715232,133.3350930373124,-3,456,459,82.62251655629139,251.09685605205672,-268,496,764
m,m_11.csv,1.461294412612915,1,-24.409523809523808,59.913955591442,-223,107,330,155.2888888888889,109.98533068242332,-12,410,422,98.84126984126983,243.67805365436024,-234,498,732
m,m_12.csv,1.3798465728759766,1,-26.62020905923345,70.22251354336264,-290,134,424,142.43205574912892,103.9648680757633,0,396,396,103.81533101045297,248.50057486491707,-209,498,707
m,m_13.csv,1.5349082946777344,1,-27.07051282051282,49.62225309584921,-192,43,235,112.04166666666667,83.93077185451304,-4,288,292,105.81410256410257,224.5516377135449,-194,498,692
